,Unnamed:_0,Unnamed:_0,Unnamed:_0.1,MSHA_ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours,log_production
0,837,837,837,3608140,2013,Bell Corp,Pennsylvania (Anthracite),Schuylkill,Temporarily closed,Surface,Independent Producer Operator,Mine only,Bell Corp,"739 Broad Street, Tuscarora, PA 17982", ,Appalachia Northern,23,2,35,3.1354942159291497
1,355,355,355,1518384,2013,#5,Kentucky (East),Martin,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Mayo Resources Inc,"P.O. Box 190, Lovely, KY 41231", ,Appalachia Central,40,1,726,3.6888794541139363
2,1437,1437,1437,3610027,2013,Paradise Bank,Refuse Recovery,Northumberland,"New, under construction",Refuse,Independent Producer Operator,Mine only,D Molesevich & Sons Constructi,"P.O. Box 121, Mt. Carmel, PA 17851", ,Appalachia Northern,52,1,53,3.9512437185814275
3,152,152,152,1519432,2013,Four Mile,Kentucky (East),Bell,Temporarily closed,Surface,Independent Producer Operator,Mine only,Nally & Hamilton Enterprises I,"P.O. Box 249, Calvin, KY 40813", ,Appalachia Central,111,5,263,4.709530201312334
4,647,647,647,3604186,2013,A W Long Coal Company,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,A W Long Coal Company,"154 Long Lane, Munson, PA 16860", ,Appalachia Northern,121,1,298,4.795790545596741
5,853,853,853,3608899,2013,Commonwealth Quarry,Pennsylvania (Anthracite),Schuylkill,Temporarily closed,Surface,Independent Producer Operator,Mine only,Commonwealth Environmental Sys,"99 Commonwealth Ave, Hegins, PA 17938", ,Appalachia Northern,133,4,9132,4.890349128221754
6,678,678,678,3609419,2013,Clearfield County Strips,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,"Madera Enterprise, Inc.","2072 Banion Road, Madera, PA 16661", ,Appalachia Northern,262,2,282,5.568344503761097
7,1396,1396,1396,4609227,2013,Double Camp No. 1,West Virginia (Southern),Wyoming,Temporarily closed,Underground,Independent Producer Operator,Mine only,"Frontier Coal Company, Inc.","100 Cranberry Creek Drive, Beckley, WV 25801", ,Appalachia Central,271,3,5895,5.602118820879701
8,1134,1134,1134,4609369,2013,Bismarck  Mine,West Virginia (Northern),Grant,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,"Vindex Energy Corp,","265 Glass Drive, Mt. Lake Park, MD 21550", ,Appalachia Northern,304,3,6774,5.717027701406222
9,1242,1242,1242,4609188,2013,Westchester Mine,West Virginia (Southern),Mcdowell,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,"Wf Coal Sales, Inc.","P.O. Box 275, Premier, WV 24878", ,Appalachia Central,325,11,3659,5.783825182329737
10,1296,1296,1296,4608812,2013,Upper Cedar Grove No 4,West Virginia (Southern),Mingo,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,"Glen Alum Operations, Llc","P.O. Box 110, Wharncliffe, WV 25651", ,Appalachia Central,365,4,6404,5.8998973535824915
11,1166,1166,1166,4609108,2013,Mammoth #2 Gas,West Virginia (Southern),Kanawha,Permanently abandoned,Underground,Independent Producer Operator,Mine only,Mammoth Coal Co.,"P.O. Box 150, Cannelton, WV 25036", ,Appalachia Central,444,3,4979,6.095824562432225
12,1359,1359,1359,4609407,2013,Rager Surface Mine,West Virginia (Northern),Taylor,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Rebekah Coal Company, Inc.","P.O. Box 111, Independence, WV 26374", ,Appalachia Northern,494,3,680,6.202535517187923
13,865,865,865,3609811,2013,Tarcon Strip,Pennsylvania (Anthracite),Schuylkill,Temporarily closed,Surface,Independent Producer Operator,Mine only,Gale Mining Company,"1441 Oak Road, Pottsville, PA 17901", ,Appalachia Northern,562,2,792,6.331501849893691
14,740,740,740,3609189,2013,Ser #3163,Pennsylvania (Bituminous),Indiana,Active,Surface,Independent Producer Operator,Mine only,J C Drilling & Ditching,"607 Angie Lane, Indiana, PA 15701", ,Appalachia Northern,574,1,54,6.352629396319567
15,14,14,14,103375,2013,Johnson Mine,Alabama,Jefferson,Temporarily closed,Surface,Independent Producer Operator,Mine only,Cahaba Resources Llc,"P.O. Box 122, Vance, AL 35490", ,Appalachia Southern,580,2,1900,6.363028103540465
